t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0.629984,32,1,0,-3.14159,-2.99514,-0.000944563,0.00159368
0.629984,32,2,1,-2.94524,-2.89749,-0.00156514,0.00263623
0.629984,32,3,1,-2.94524,-2.79984,-0.00216909,0.00365803
0.629984,32,4,2,-2.74889,-2.70216,-0.00275331,0.00464164
0.629984,32,5,2,-2.74889,-2.60446,-0.00330984,0.00558363
0.629984,32,6,3,-2.55254,-2.50674,-0.00383507,0.00647129
0.629984,32,7,3,-2.55254,-2.40898,-0.00432277,0.00729732
0.629984,32,8,4,-2.35619,-2.31119,-0.00476871,0.00805539
0.629984,32,9,4,-2.35619,-2.21336,-0.00516886,0.00873367
0.629984,32,10,5,-2.15984,-2.11548,-0.00551834,0.00933314
0.629984,32,11,5,-2.15984,-2.01756,-0.0058156,0.00983742
0.629984,32,12,6,-1.9635,-1.91959,-0.00605527,0.010255
0.629984,32,13,6,-1.9635,-1.82158,-0.00623827,0.0105656
0.629984,32,14,7,-1.76715,-1.72351,-0.00635904,0.0107847
0.629984,32,15,7,-1.76715,-1.62538,-0.00642084,0.0108894
0.629984,32,16,8,-1.5708,-1.52721,-0.00641824,0.0109007
0.629984,32,17,8,-1.5708,-1.42898,-0.00635657,0.0107951
0.629984,32,18,9,-1.37445,-1.3307,-0.0062309,0.0105974
0.629984,32,19,9,-1.37445,-1.23237,-0.0060482,0.0102851
0.629984,32,20,10,-1.1781,-1.13399,-0.00580447,0.00988531
0.629984,32,21,10,-1.1781,-1.03556,-0.00550786,0.00937792
0.629984,32,22,11,-0.981748,-0.937082,-0.00515557,0.00879079
0.629984,32,23,11,-0.981748,-0.838565,-0.00475651,0.00810759
0.629984,32,24,12,-0.785398,-0.740008,-0.00430924,0.00735543
0.629984,32,25,12,-0.785398,-0.641416,-0.0038231,0.0065225
0.629984,32,26,13,-0.589049,-0.542791,-0.00329803,0.00563432
0.629984,32,27,13,-0.589049,-0.44414,-0.00274351,0.00468362
0.629984,32,28,14,-0.392699,-0.345466,-0.0021607,0.00369403
0.629984,32,29,14,-0.392699,-0.246775,-0.0015591,0.00266214
0.629984,32,30,15,-0.19635,-0.14807,-0.000940764,0.00160997
0.629984,32,31,15,-0.19635,-0.0493576,-0.000315161,0.000536667
0.629984,32,32,16,0,0.0493576,0.000315161,-0.000536667
0.629984,32,33,16,0,0.14807,0.000940764,-0.00160997
0.629984,32,34,17,0.19635,0.246775,0.0015591,-0.00266214
0.629984,32,35,17,0.19635,0.345466,0.0021607,-0.00369403
0.629984,32,36,18,0.392699,0.44414,0.00274351,-0.00468362
0.629984,32,37,18,0.392699,0.542791,0.00329803,-0.00563432
0.629984,32,38,19,0.589049,0.641416,0.0038231,-0.0065225
