t,n,i,position,velocity,E_i
7.95355,101,2,-1.81901,1.61472,0.0351965
7.95355,101,3,1.62169,-0.0265251,-0.107609
8.0323,102,0,0.371082,0.718398,0.11284
8.0323,102,1,0.580273,0.0100057,-0.0446326
8.0323,102,2,-1.69214,1.61115,0.0453769
8.0323,102,3,1.6203,-0.0175806,-0.113584
8.11105,103,0,0.426952,0.709486,0.11317
8.11105,103,1,0.581366,0.0138818,-0.049221
8.11105,103,2,-1.56561,1.60678,0.0555222
8.11105,103,3,1.61966,-0.00817242,-0.119471
8.1898,104,0,0.482219,0.701818,0.0973769
8.1898,104,1,0.582693,0.0168534,-0.0377354
8.1898,104,2,-1.43948,1.60161,0.0656244
8.1898,104,3,1.61979,0.00169202,-0.125266
8.26855,105,0,0.537042,0.696179,0.0716014
8.26855,105,1,0.584122,0.018138,-0.0163138
8.26855,105,2,-1.31383,1.59565,0.0756758
8.26855,105,3,1.62074,0.0120051,-0.130963
8.34729,106,0,0.591579,0.692554,0.0460429
8.34729,106,1,0.58552,0.0177563,0.00484787
8.34729,106,2,-1.18871,1.5889,0.0856685
8.34729,106,3,1.62253,0.0227589,-0.136559
8.42604,107,0,0.645989,0.690931,0.0205992
8.42604,107,1,0.586758,0.0157202,0.0258553
8.42604,107,2,-1.06417,1.58138,0.0955947
8.42604,107,3,1.6252,0.033945,-0.142049
8.50479,108,0,0.700426,0.691293,-0.00459007
8.50479,108,1,0.587707,0.0120527,0.0465724
8.50479,108,2,-0.940299,1.57307,0.105447
8.50479,108,3,1.62879,0.0455548,-0.147429
8.58354,109,0,0.755052,0.693671,-0.0301955
8.58354,109,1,0.588237,0.00672362,0.067673
8.58354,109,2,-0.817137,1.564,0.115217
8.58354,109,3,1.63333,0.0575792,-0.152695
8.66229,110,0,0.810025,0.698094,-0.0561665
8.66229,110,1,0.588213,-0.000293635,0.0891102
8.66229,110,2,-0.694749,1.55416,0.124899
8.66229,110,3,1.63884,0.070009,-0.157842
8.74103,111,0,0.865434,0.703616,-0.0701194
8.74103,111,1,0.58758,-0.00805061,0.0985037
8.74103,111,2,-0.573196,1.54357,0.134483
8.74103,111,3,1.64536,0.0828344,-0.162867
8.81978,112,0,0.921269,0.709042,-0.0689074
8.81978,112,1,0.586371,-0.0153514,0.0927104
8.81978,112,2,-0.452536,1.53224,0.143963
8.81978,112,3,1.65293,0.0960457,-0.167766
8.89853,113,0,0.977524,0.714369,-0.0676421
8.89853,113,1,0.584623,-0.0221903,0.0868452
8.89853,113,2,-0.332826,1.52016,0.153331
8.89853,113,3,1.66156,0.109632,-0.172535
8.97728,114,0,1.03419,0.719591,-0.0663243
8.97728,114,1,0.582374,-0.028562,0.0809126
8.97728,114,2,-0.214124,1.50736,0.162581
8.97728,114,3,1.67129,0.123584,-0.177169
9.05603,115,0,1.09126,0.724707,-0.064955
9.05603,115,1,0.57966,-0.0344616,0.0749174
9.05603,115,2,-0.0964875,1.49384,0.171705
9.05603,115,3,1.68215,0.13789,-0.181667
9.13477,116,0,1.14872,0.72971,-0.0635355
9.13477,116,1,0.576519,-0.0398845,0.0688641
9.13477,116,2,0.0200287,1.47961,0.180695
9.13477,116,3,1.69416,0.152539,-0.186024
9.21352,117,0,1.20657,0.734597,-0.0620667
9.21352,117,1,0.572989,-0.0448265,0.0627574
9.21352,117,2,0.13537,1.46468,0.189546
9.21352,117,3,1.70735,0.16752,-0.190236
9.29227,118,0,1.26479,0.739366,-0.0605497
9.29227,118,1,0.569108,-0.0492838,0.0566021
9.29227,118,2,0.249481,1.44907,0.198249
9.29227,118,3,1.72175,0.182821,-0.194301
9.37102,119,0,1.32338,0.744011,-0.0589859
9.37102,119,1,0.564898,-0.0534654,0.0531007
9.37102,119,2,0.362327,1.433,0.204101
9.37102,119,3,1.73738,0.19843,-0.198216
9.44977,120,0,1.38233,0.748529,-0.0573763
9.44977,120,1,0.560351,-0.0577469,0.0543699
9.44977,120,2,0.473901,1.41685,0.204983
9.44977,120,3,1.75425,0.214335,-0.201977
9.52851,121,0,1.44162,0.752937,-0.055981
9.52851,121,1,0.555228,-0.0650571,0.09283
9.52851,121,2,0.584431,1.40359,0.168473
9.52851,121,3,1.77241,0.230504,-0.205322
9.60726,122,0,1.50125,0.757192,-0.0540248
9.60726,122,1,0.54921,-0.0764206,0.144302
9.60726,122,2,0.694224,1.39424,0.118749
9.60726,122,3,1.79185,0.246964,-0.209026
9.68601,123,0,1.5612,0.761309,-0.0522854
9.68601,123,1,0.542044,-0.0909946,0.185071
9.68601,123,2,0.803525,1.38797,0.0795234
9.68601,123,3,1.81262,0.263683,-0.212309
9.76476,124,0,1.62147,0.765286,-0.0505056
9.76476,124,1,0.533546,-0.10791,0.214799
9.76476,124,2,0.912508,1.38395,0.0511345
9.76476,124,3,1.83472,0.280648,-0.215428
9.84351,125,0,1.68214,0.770429,-0.0653023
9.84351,125,1,0.523759,-0.124291,0.208023
9.84351,125,2,1.02112,1.3793,0.0590433
9.84351,125,3,1.85807,0.296536,-0.201764
9.92225,126,0,1.74328,0.776469,-0.076707
9.92225,126,1,0.512724,-0.140126,0.201085
9.92225,126,2,1.12933,1.37403,0.0669063
9.92225,126,3,1.88261,0.311599,-0.191284
10.001,127,0,1.80492,0.782802,-0.0804153
10.001,127,1,0.500486,-0.155402,0.193992
10.001,127,2,1.23707,1.36815,0.0747175
10.001,127,3,1.90831,0.326427,-0.188294
10.0798,128,0,1.86712,0.78984,-0.0893763
10.0798,128,1,0.487091,-0.170109,0.186748
10.0798,128,2,1.34429,1.36165,0.0824708
10.0798,128,3,1.93514,0.340589,-0.179842
10.1585,129,0,1.92997,0.798109,-0.105004
10.1585,129,1,0.472583,-0.184233,0.179359
10.1585,129,2,1.45096,1.35455,0.0901601
10.1585,129,3,1.96298,0.353545,-0.164515
10.2372,130,0,1.99357,0.807587,-0.120367
10.2372,130,1,0.457009,-0.197764,0.171832
10.2372,130,2,1.55702,1.34685,0.0977795
10.2372,130,3,1.99174,0.365297,-0.149245
10.316,131,0,2.05801,0.818261,-0.135546
10.316,131,1,0.440417,-0.210692,0.164171
10.316,131,2,1.66243,1.33856,0.105323
10.316,131,3,2.02134,0.375846,-0.133948
10.3947,132,0,2.12338,0.830123,-0.150625
10.3947,132,1,0.422856,-0.223007,0.156383
10.3947,132,2,1.76714,1.32968,0.112785
10.3947,132,3,2.05167,0.385181,-0.118543
10.4735,133,0,2.18977,0.84317,-0.165687
10.4735,133,1,0.404374,-0.234699,0.148474
10.4735,133,2,1.87111,1.32021,0.12016
10.4735,133,3,2.08264,0.393287,-0.102946
10.5522,134,0,2.25726,0.856946,-0.174931
10.5522,134,1,0.385021,-0.245759,0.140449
10.5522,134,2,1.97441,1.31179,0.107003
