t,n,i,j_left,x_grid(j_left),position,velocity,E_i
14.7004,132,0,4,-2.35619,-2.247,0.0975113,0.0422628
14.7004,132,1,27,2.15984,2.247,-0.0975113,-0.0422628
14.8118,133,0,4,-2.35619,-2.23562,0.102218,0.0415513
14.8118,133,1,27,2.15984,2.23562,-0.102218,-0.0415513
14.9231,134,0,4,-2.35619,-2.22372,0.106845,0.0408076
14.9231,134,1,27,2.15984,2.22372,-0.106845,-0.0408076
15.0345,135,0,4,-2.35619,-2.21131,0.11139,0.0400323
15.0345,135,1,27,2.15984,2.21131,-0.11139,-0.0400323
15.1459,136,0,4,-2.35619,-2.19841,0.115848,0.0392259
15.1459,136,1,27,2.15984,2.19841,-0.115848,-0.0392259
15.2572,137,0,4,-2.35619,-2.18502,0.120217,0.0383892
15.2572,137,1,27,2.15984,2.18502,-0.120217,-0.0383892
15.3686,138,0,4,-2.35619,-2.17116,0.124492,0.0375227
15.3686,138,1,27,2.15984,2.17116,-0.124492,-0.0375227
15.48,139,0,5,-2.15984,-2.15683,0.128671,0.0366271
15.48,139,1,26,1.9635,2.15683,-0.128671,-0.0366271
15.5913,140,0,5,-2.15984,-2.14205,0.13275,0.0357031
15.5913,140,1,26,1.9635,2.14205,-0.13275,-0.0357031
15.7027,141,0,5,-2.15984,-2.12682,0.136726,0.0347514
15.7027,141,1,26,1.9635,2.12682,-0.136726,-0.0347514
15.8141,142,0,5,-2.15984,-2.11116,0.140596,0.0337728
15.8141,142,1,26,1.9635,2.11116,-0.140596,-0.0337728
15.9254,143,0,5,-2.15984,-2.09508,0.144357,0.032768
15.9254,143,1,26,1.9635,2.09508,-0.144357,-0.032768
16.0368,144,0,5,-2.15984,-2.0786,0.148006,0.0317378
16.0368,144,1,26,1.9635,2.0786,-0.148006,-0.0317378
16.1482,145,0,5,-2.15984,-2.06172,0.151541,0.030683
16.1482,145,1,26,1.9635,2.06172,-0.151541,-0.030683
16.2595,146,0,5,-2.15984,-2.04447,0.154958,0.0296045
16.2595,146,1,26,1.9635,2.04447,-0.154958,-0.0296045
16.3709,147,0,5,-2.15984,-2.02684,0.158255,0.0285029
16.3709,147,1,26,1.9635,2.02684,-0.158255,-0.0285029
16.4823,148,0,5,-2.15984,-2.00887,0.161429,0.0273793
16.4823,148,1,26,1.9635,2.00887,-0.161429,-0.0273793
16.5936,149,0,5,-2.15984,-1.99055,0.164478,0.0262345
16.5936,149,1,26,1.9635,1.99055,-0.164478,-0.0262345
16.705,150,0,5,-2.15984,-1.97191,0.1674,0.0250693
16.705,150,1,26,1.9635,1.97191,-0.1674,-0.0250693
16.8164,151,0,6,-1.9635,-1.95295,0.170192,0.0238847
16.8164,151,1,25,1.76715,1.95295,-0.170192,-0.0238847
16.9277,152,0,6,-1.9635,-1.9337,0.172852,0.0226816
16.9277,152,1,25,1.76715,1.9337,-0.172852,-0.0226816
17.0391,153,0,6,-1.9635,-1.91417,0.175378,0.0214609
17.0391,153,1,25,1.76715,1.91417,-0.175378,-0.0214609
17.1505,154,0,6,-1.9635,-1.89437,0.177768,0.0202236
17.1505,154,1,25,1.76715,1.89437,-0.177768,-0.0202236
17.2618,155,0,6,-1.9635,-1.87432,0.18002,0.0189705
17.2618,155,1,25,1.76715,1.87432,-0.18002,-0.0189705
17.3732,156,0,6,-1.9635,-1.85404,0.182133,0.0177028
17.3732,156,1,25,1.76715,1.85404,-0.182133,-0.0177028
17.4845,157,0,6,-1.9635,-1.83354,0.184104,0.0164214
17.4845,157,1,25,1.76715,1.83354,-0.184104,-0.0164214
17.5959,158,0,6,-1.9635,-1.81283,0.185933,0.0151272
17.5959,158,1,25,1.76715,1.81283,-0.185933,-0.0151272
17.7073,159,0,6,-1.9635,-1.79194,0.187618,0.0138213
17.7073,159,1,25,1.76715,1.79194,-0.187618,-0.0138213
17.8186,160,0,6,-1.9635,-1.77087,0.189157,0.0125047
17.8186,160,1,25,1.76715,1.77087,-0.189157,-0.0125047
17.93,161,0,7,-1.76715,-1.74965,0.19055,0.0111784
17.93,161,1,24,1.5708,1.74965,-0.19055,-0.0111784
18.0414,162,0,7,-1.76715,-1.72829,0.191794,0.00984343
18.0414,162,1,24,1.5708,1.72829,-0.191794,-0.00984343
18.1527,163,0,7,-1.76715,-1.70681,0.192891,0.00850083
18.1527,163,1,24,1.5708,1.70681,-0.192891,-0.00850083
18.2641,164,0,7,-1.76715,-1.68522,0.193837,0.00715165
18.2641,164,1,24,1.5708,1.68522,-0.193837,-0.00715165
18.3755,165,0,7,-1.76715,-1.66355,0.194634,0.00579691
18.3755,165,1,24,1.5708,1.66355,-0.194634,-0.00579691
18.4868,166,0,7,-1.76715,-1.6418,0.195279,0.00443769
18.4868,166,1,24,1.5708,1.6418,-0.195279,-0.00443769
18.5982,167,0,7,-1.76715,-1.62,0.195774,0.00307502
18.5982,167,1,24,1.5708,1.62,-0.195774,-0.00307502
18.7096,168,0,7,-1.76715,-1.59816,0.196116,0.00170998
18.7096,168,1,24,1.5708,1.59816,-0.196116,-0.00170998
18.8209,169,0,7,-1.76715,-1.57629,0.196307,0.000343601
18.8209,169,1,24,1.5708,1.57629,-0.196307,-0.000343601
18.9323,170,0,8,-1.5708,-1.55443,0.196345,-0.00102304
18.9323,170,1,23,1.37445,1.55443,-0.196345,0.00102304
19.0437,171,0,8,-1.5708,-1.53257,0.196231,-0.00238889
19.0437,171,1,23,1.37445,1.53257,-0.196231,0.00238889
19.155,172,0,8,-1.5708,-1.51075,0.195965,-0.00375288
19.155,172,1,23,1.37445,1.51075,-0.195965,0.00375288
19.2664,173,0,8,-1.5708,-1.48897,0.195547,-0.00511397
19.2664,173,1,23,1.37445,1.48897,-0.195547,0.00511397
19.3778,174,0,8,-1.5708,-1.46726,0.194977,-0.00647109
19.3778,174,1,23,1.37445,1.46726,-0.194977,0.00647109
19.4891,175,0,8,-1.5708,-1.44563,0.194257,-0.0078232
19.4891,175,1,23,1.37445,1.44563,-0.194257,0.0078232
19.6005,176,0,8,-1.5708,-1.42409,0.193385,-0.00916924
19.6005,176,1,23,1.37445,1.42409,-0.193385,0.00916924
19.7119,177,0,8,-1.5708,-1.40267,0.192364,-0.0105082
19.7119,177,1,23,1.37445,1.40267,-0.192364,0.0105082
19.8232,178,0,8,-1.5708,-1.38137,0.191194,-0.011839
19.8232,178,1,23,1.37445,1.38137,-0.191194,0.011839
19.9346,179,0,9,-1.37445,-1.36023,0.189876,-0.0131606
19.9346,179,1,22,1.1781,1.36023,-0.189876,0.0131606
20.046,180,0,9,-1.37445,-1.33924,0.18841,-0.014472
20.046,180,1,22,1.1781,1.33924,-0.18841,0.014472
20.1573,181,0,9,-1.37445,-1.31844,0.186798,-0.0157722
20.1573,181,1,22,1.1781,1.31844,-0.186798,0.0157722
20.2687,182,0,9,-1.37445,-1.29783,0.185042,-0.0170601
20.2687,182,1,22,1.1781,1.29783,-0.185042,0.0170601
20.3801,183,0,9,-1.37445,-1.27744,0.183142,-0.0183349
20.3801,183,1,22,1.1781,1.27744,-0.183142,0.0183349
20.4914,184,0,9,-1.37445,-1.25727,0.1811,-0.0195954
20.4914,184,1,22,1.1781,1.25727,-0.1811,0.0195954
20.6028,185,0,9,-1.37445,-1.23734,0.178918,-0.0208408
20.6028,185,1,22,1.1781,1.23734,-0.178918,0.0208408
20.7142,186,0,9,-1.37445,-1.21768,0.176597,-0.0220699
20.7142,186,1,22,1.1781,1.21768,-0.176597,0.0220699
20.8255,187,0,9,-1.37445,-1.19828,0.174139,-0.023282
20.8255,187,1,22,1.1781,1.19828,-0.174139,0.023282
20.9369,188,0,9,-1.37445,-1.17918,0.171546,-0.0244761
20.9369,188,1,22,1.1781,1.17918,-0.171546,0.0244761
21.0483,189,0,10,-1.1781,-1.16038,0.16882,-0.0256511
21.0483,189,1,21,0.981748,1.16038,-0.16882,0.0256511
21.1596,190,0,10,-1.1781,-1.1419,0.165964,-0.0268063
21.1596,190,1,21,0.981748,1.1419,-0.165964,0.0268063
21.271,191,0,10,-1.1781,-1.12375,0.162978,-0.0279407
21.271,191,1,21,0.981748,1.12375,-0.162978,0.0279407
21.3824,192,0,10,-1.1781,-1.10594,0.159867,-0.0290534
21.3824,192,1,21,0.981748,1.10594,-0.159867,0.0290534
21.4937,193,0,10,-1.1781,-1.0885,0.156631,-0.0301436
21.4937,193,1,21,0.981748,1.0885,-0.156631,0.0301436
21.6051,194,0,10,-1.1781,-1.07143,0.153274,-0.0312105
21.6051,194,1,21,0.981748,1.07143,-0.153274,0.0312105
21.7165,195,0,10,-1.1781,-1.05475,0.149798,-0.0322531
21.7165,195,1,21,0.981748,1.05475,-0.149798,0.0322531
21.8278,196,0,10,-1.1781,-1.03846,0.146206,-0.0332708
21.8278,196,1,21,0.981748,1.03846,-0.146206,0.0332708
21.9392,197,0,10,-1.1781,-1.02259,0.142501,-0.0342627
21.9392,197,1,21,0.981748,1.02259,-0.142501,0.0342627
22.0506,198,0,10,-1.1781,-1.00715,0.138685,-0.035228
22.0506,198,1,21,0.981748,1.00715,-0.138685,0.035228
22.1619,199,0,10,-1.1781,-0.992141,0.134762,-0.036166
22.1619,199,1,21,0.981748,0.992141,-0.134762,0.036166
22.2733,200,0,11,-0.981748,-0.977581,0.130734,-0.0370759
22.2733,200,1,20,0.785398,0.977581,-0.130734,0.0370759
22.3847,201,0,11,-0.981748,-0.963482,0.126605,-0.0379572
22.3847,201,1,20,0.785398,0.963482,-0.126605,0.0379572
22.496,202,0,11,-0.981748,-0.949853,0.122378,-0.038809
22.496,202,1,20,0.785398,0.949853,-0.122378,0.038809
