t,n,i,position,velocity,E_i
23.7211,213,1,1.55151,-0.000313366,-0.00375793
23.8324,214,0,-1.54533,-0.0070365,0.00166587
23.8324,214,1,1.55153,0.000102494,-0.00373416
23.9438,215,0,-1.54613,-0.00721908,0.0016395
23.9438,215,1,1.55158,0.000515624,-0.00370964
24.0552,216,0,-1.54696,-0.0073985,0.00161101
24.0552,216,1,1.55169,0.000925944,-0.00368441
24.1665,217,0,-1.5478,-0.0075745,0.00158043
24.1665,217,1,1.55183,0.00133337,-0.00365846
24.2779,218,0,-1.54867,-0.00774687,0.00154778
24.2779,218,1,1.55203,0.00173784,-0.00363181
24.3893,219,0,-1.54955,-0.00791538,0.00151309
24.3893,219,1,1.55227,0.00213925,-0.00360447
24.5006,220,0,-1.55045,-0.0080798,0.00147637
24.5006,220,1,1.55255,0.00253755,-0.00357646
24.612,221,0,-1.55136,-0.00823991,0.00143766
24.612,221,1,1.55288,0.00293266,-0.00354779
24.7234,222,0,-1.5523,-0.00839549,0.00139699
24.7234,222,1,1.55325,0.0033245,-0.00351847
24.8347,223,0,-1.55325,-0.00854632,0.00135438
24.8347,223,1,1.55366,0.003713,-0.00348853
24.9461,224,0,-1.55422,-0.00869219,0.00130985
24.9461,224,1,1.55412,0.0040981,-0.00345798
25.0575,225,0,-1.5552,-0.0088329,0.00126345
25.0575,225,1,1.55461,0.00447974,-0.00342684
25.1688,226,0,-1.5562,-0.00896823,0.0012152
25.1688,226,1,1.55516,0.00485784,-0.00339512
25.2802,227,0,-1.55721,-0.00909799,0.00116513
25.2802,227,1,1.55574,0.00523235,-0.00336285
25.3916,228,0,-1.55824,-0.00922197,0.00111328
25.3916,228,1,1.55636,0.00560321,-0.00333005
25.5029,229,0,-1.55928,-0.00933998,0.00105968
25.5029,229,1,1.55703,0.00597036,-0.00329674
25.6143,230,0,-1.56033,-0.00945183,0.00100436
25.6143,230,1,1.55773,0.00633374,-0.00326294
25.7257,231,0,-1.5614,-0.00955734,0.000947368
25.7257,231,1,1.55848,0.0066933,-0.00322867
25.837,232,0,-1.56247,-0.00965631,0.000888734
25.837,232,1,1.55926,0.007049,-0.00319395
25.9484,233,0,-1.56356,-0.00974858,0.000828496
25.9484,233,1,1.56009,0.00740079,-0.00315881
26.0598,234,0,-1.56465,-0.00983396,0.000766692
26.0598,234,1,1.56095,0.00774862,-0.00312327
26.1711,235,0,-1.56576,-0.00991229,0.000703362
26.1711,235,1,1.56185,0.00809245,-0.00308736
26.2825,236,0,-1.56687,-0.00998341,0.000638546
26.2825,236,1,1.56279,0.00843224,-0.00305111
26.3939,237,0,-1.56799,-0.0100471,0.000572284
26.3939,237,1,1.56377,0.00876795,-0.00301453
26.5052,238,0,-1.56911,-0.0101033,0.000504618
26.5052,238,1,1.56478,0.00909956,-0.00297765
26.6166,239,0,-1.57025,-0.0101518,0.00043559
26.6166,239,1,1.56583,0.00942704,-0.00294051
26.728,240,0,-1.57138,-0.0101925,0.000365244
26.728,240,1,1.56692,0.00975035,-0.00290313
26.8393,241,0,-1.57252,-0.0102252,0.000293621
26.8393,241,1,1.56804,0.0100695,-0.00286554
26.9507,242,0,-1.57366,-0.0102498,0.000220768
26.9507,242,1,1.56919,0.0103844,-0.00282776
27.0621,243,0,-1.5748,-0.0102661,0.000146727
27.0621,243,1,1.57038,0.0106951,-0.00278983
27.1734,244,0,-1.57595,-0.0102741,7.15444e-05
27.1734,244,1,1.57161,0.0110015,-0.00275178
27.2848,245,0,-1.57709,-0.0102309,-0.000388229
27.2848,245,1,1.5728,0.0106631,0.0030388
27.3962,246,0,-1.57822,-0.0101793,-0.00046317
27.3962,246,1,1.57395,0.0103205,0.00307672
27.5075,247,0,-1.57935,-0.0101195,-0.000536727
27.5075,247,1,1.57506,0.00997364,0.0031144
27.6189,248,0,-1.58047,-0.0100517,-0.000608857
27.6189,248,1,1.57613,0.00962264,0.00315178
27.7303,249,0,-1.58158,-0.00997605,-0.000679514
27.7303,249,1,1.57716,0.0092675,0.00318886
27.8416,250,0,-1.58268,-0.00989267,-0.000748656
27.8416,250,1,1.57815,0.00890828,0.00322559
27.953,251,0,-1.58377,-0.00980177,-0.000816239
27.953,251,1,1.5791,0.00854501,0.00326196
28.0644,252,0,-1.58485,-0.00970352,-0.000882221
28.0644,252,1,1.58002,0.00817773,0.00329793
28.1757,253,0,-1.58592,-0.0095981,-0.000946562
28.1757,253,1,1.58089,0.00780649,0.00333348
